LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
13077                           290                 700.87              0.41                0.41                
13079                           26                  58.54               0.44                0.44                
13081                           203                 105.58              1.92                1.92                
13083                           25                  76.06               0.33                0.33                
13085                           96                  123.21              0.78                0.78                
13087                           165                 124.61              1.32                1.32                
13089                           2979                3583.40             0.83                0.83                
13091                           48                  97.24               0.49                0.49                
13093                           165                 63.19               2.61                2.61                
13095                           1689                415.10              4.07                4.07                
13097                           453                 690.65              0.66                0.66                
13099                           246                 48.09               5.12                5.12                
13101                           53                  18.91               2.80                2.80                
13103                           51                  303.44              0.17                0.17                
13105                           69                  90.58               0.76                0.76                
13107                           26                  106.87              0.24                0.24                
13109                           6                   50.28               0.12                0.12                
13111                           40                  123.59              0.32                0.32                
13113                           218                 540.00              0.40                0.40                
13115                           208                 464.85              0.45                0.45                
13117                           441                 1152.72             0.38                0.38                
13119                           37                  110.19              0.34                0.34                
13121                           3806                5021.11             0.76                0.76                
13123                           117                 148.04              0.79                0.79                
13125                           1                   14.02               0.071               0.071               
13127                           85                  402.52              0.21                0.21                
13129                           136                 273.55              0.50                0.50                
13131                           94                  116.25              0.81                0.81                
13133                           70                  86.48               0.81                0.81                
13135                           2823                4418.51             0.64                0.64                
13137                           473                 213.92              2.21                2.21                
13139                           2230                964.83              2.31                2.31                
13141                           170                 39.91               4.26                4.26                
13143                           39                  140.60              0.28                0.28                
13145                           81                  166.29              0.49                0.49                
13147                           27                  123.67              0.22                0.22                
13149                           28                  56.27               0.50                0.50                
13151                           634                 1106.98             0.57                0.57                
13153                           329                 745.01              0.44                0.44                
13155                           24                  44.44               0.54                0.54                
13157                           139                 344.41              0.40                0.40                
13159                           31                  67.10               0.46                0.46                
13161                           26                  71.33               0.36                0.36                
13163                           26                  72.50               0.36                0.36                
13165                           18                  40.95               0.44                0.44                
13167                           84                  45.51               1.85                1.85                
13169                           34                  135.61              0.25                0.25                
13171                           51                  90.03               0.57                0.57                
13173                           13                  49.19               0.26                0.26                
13175                           98                  224.39              0.44                0.44                
13177                           349                 141.54              2.47                2.47                
13179                           50                  289.93              0.17                0.17                
13181                           15                  37.38               0.40                0.40                
13183                           6                   92.31               0.065               0.065               
13185                           228                 554.08              0.41                0.41                
13187                           89                  158.62              0.56                0.56                
13189                           57                  100.58              0.57                0.57                
13191                           12                  67.86               0.18                0.18                
13193                           104                 61.10               1.70                1.70                
13195                           34                  141.01              0.24                0.24                
13197                           54                  39.45               1.37                1.37                
13199                           76                  99.89               0.76                0.76                
13201                           49                  26.99               1.82                1.82                
13205                           401                 103.18              3.89                3.89                
13207                           109                 130.15              0.84                0.84                
13209                           9                   43.29               0.21                0.21                
13211                           38                  90.97               0.42                0.42                
13213                           67                  189.23              0.35                0.35                
13215                           456                 923.91              0.49                0.49                
13217                           280                 527.36              0.53                0.53                
13219                           89                  190.10              0.47                0.47                
13221                           61                  72.01               0.85                0.85                
13223                           263                 796.00              0.33                0.33                
13225                           72                  130.00              0.55                0.55                
13227                           44                  153.81              0.29                0.29                
13229                           87                  91.86               0.95                0.95                
13231                           48                  89.49               0.54                0.54                
13233                           87                  201.11              0.43                0.43                
13235                           41                  52.56               0.78                0.78                
13237                           84                  104.39              0.80                0.80                
13239                           12                  10.85               1.11                1.11                
13241                           16                  80.88               0.20                0.20                
13243                           171                 31.99               5.35                5.35                
13245                           504                 955.76              0.53                0.53                
13247                           254                 428.97              0.59                0.59                
13249                           20                  24.81               0.81                0.81                
13251                           20                  65.91               0.30                0.30                
13253                           47                  38.18               1.23                1.23                
13255                           253                 314.80              0.80                0.80                
13257                           120                 122.35              0.98                0.98                
13259                           41                  31.25               1.31                1.31                
13261                           432                 139.33              3.10                3.10                
13263                           35                  29.24               1.20                1.20                
13265                           1                   7.25                0.14                0.14                
13267                           14                  119.33              0.12                0.12                
13269                           22                  37.85               0.58                0.58                
13271                           35                  74.85               0.47                0.47                
13273                           204                 40.26               5.07                5.07                
13275                           304                 209.78              1.45                1.45                
13277                           199                 191.81              1.04                1.04                
13279                           48                  126.62              0.38                0.38                
13281                           24                  56.81               0.42                0.42                
13283                           8                   32.57               0.25                0.25                
13285                           222                 329.99              0.67                0.67                
13287                           86                  37.68               2.28                2.28                
13289                           11                  38.32               0.29                0.29                
13291                           42                  115.68              0.36                0.36                
13293                           267                 124.21              2.15                2.15                
13295                           93                  329.23              0.28                0.28                
13297                           176                 446.42              0.39                0.39                
13299                           192                 168.64              1.14                1.14                
13301                           17                  24.80               0.69                0.69                
13303                           76                  96.15               0.79                0.79                
13305                           16                  141.24              0.11                0.11                
13307                           12                  12.30               0.98                0.98                
13309                           12                  37.07               0.32                0.32                
13311                           94                  145.35              0.65                0.65                
13313                           209                 493.78              0.42                0.42                
13315                           103                 40.75               2.53                2.53                
13317                           30                  46.14               0.65                0.65                
13319                           53                  42.26               1.25                1.25                
13321                           211                 95.55               2.21                2.21                
15001                           82                  951.01              0.086               0.086               
15003                           417                 4599.32             0.091               0.090               
15005                           0                   0.41                0                   0                   
15007                           23                  341.18              0.067               0.067               
15009                           119                 790.10              0.15                0.15                
16001                           797                 2272.79             0.35                0.35                
16003                           3                   20.26               0.15                0.15                
16005                           17                  414.40              0.041               0.041               
16007                           0                   28.91               0                   0                   
16009                           0                   43.88               0                   0                   
16011                           7                   220.92              0.032               0.032               
16013                           510                 108.64              4.69                4.70                
16015                           0                   36.96               0                   0                   
16017                           4                   215.86              0.019               0.019               
16019                           34                  561.90              0.061               0.060               
16021                           1                   57.79               0.017               0.017               
16023                           0                   12.26               0                   0                   
16025                           1                   5.22                0.19                0.19                
16027                           281                 1084.74             0.26                0.26                
16029                           1                   33.77               0.030               0.030               
16031                           21                  113.41              0.19                0.19                
16033                           0                   3.99                0                   0                   
16035                           0                   41.32               0                   0                   
16037                           2                   20.36               0.098               0.098               
16039                           34                  129.83              0.26                0.26                
16041                           0                   65.49               0                   0                   
16043                           4                   61.82               0.065               0.065               
16045                           17                  85.48               0.20                0.20                
16047                           29                  71.64               0.40                0.40                
16049                           5                   78.66               0.064               0.064               
16051                           7                   140.97              0.050               0.050               
16053                           110                 115.21              0.95                0.95                
16055                           67                  781.99              0.086               0.086               
16057                           6                   189.28              0.032               0.032               
16059                           1                   37.88               0.026               0.026               
16061                           1                   18.11               0.055               0.055               
16063                           29                  25.32               1.15                1.15                
16065                           21                  188.34              0.11                0.11                
16067                           20                  99.29               0.20                0.20                
16069                           82                  190.70              0.43                0.43                
16071                           0                   21.38               0                   0                   
16073                           8                   55.80               0.14                0.14                
16075                           25                  113.03              0.22                0.22                
16077                           3                   36.25               0.083               0.083               
16079                           0                   60.79               0                   0                   
16081                           11                  57.30               0.19                0.19                
16083                           341                 410.01              0.83                0.83                
16085                           3                   53.76               0.056               0.056               
16087                           33                  48.11               0.69                0.69                
17001                           56                  308.81              0.18                0.18                
17003                           8                   27.19               0.29                0.29                
17005                           12                  77.52               0.15                0.15                
17007                           324                 252.69              1.28                1.28                
17009                           11                  31.04               0.35                0.35                
17011                           17                  153.98              0.11                0.11                
17013                           1                   22.37               0.045               0.045               
17015                           14                  67.51               0.21                0.21                
17017                           75                  57.33               1.31                1.31                
17019                           473                 989.60              0.48                0.48                
17021                           36                  152.45              0.24                0.24                
17023                           11                  72.87               0.15                0.15                
17025                           3                   62.22               0.048               0.048               
17027                           169                 177.27              0.95                0.95                
17029                           89                  238.90              0.37                0.37                
17031                           66213               24305.88            2.72                2.80                
17033                           15                  88.10               0.17                0.17                
17035                           10                  50.81               0.20                0.20                
17037                           280                 495.05              0.57                0.57                
17039                           6                   73.80               0.081               0.081               
17041                           26                  91.86               0.28                0.28                
17043                           6308                4355.61             1.45                1.45                
17045                           1                   80.99               0.012               0.012               
17047                           2                   30.18               0.066               0.066               
17049                           8                   160.50              0.050               0.050               
17051                           19                  100.69              0.19                0.19                
17053                           22                  61.17               0.36                0.36                
17055                           14                  181.55              0.077               0.077               
17057                           13                  162.06              0.080               0.080               
17059                           2                   22.79               0.088               0.088               
17061                           6                   61.21               0.098               0.098               
17063                           83                  240.94              0.34                0.34                
17065                           3                   38.30               0.078               0.078               
17067                           13                  83.57               0.16                0.16                
17069                           1                   18.03               0.055               0.055               
17071                           9                   31.36               0.29                0.29                
17073                           66                  230.84              0.29                0.29                
17075                           120                 127.96              0.94                0.94                
17077                           188                 267.82              0.70                0.70                
17079                           50                  45.35               1.10                1.10                
17081                           109                 177.84              0.61                0.61                
17083                           20                  102.75              0.19                0.19                
17085                           24                  100.22              0.24                0.24                
17087                           7                   58.60               0.12                0.12                
17089                           4814                2512.61             1.92                1.92                
17091                           703                 518.48              1.36                1.36                
17093                           611                 608.75              1.00                1.00                
17095                           90                  234.55              0.38                0.38                
17097                           6905                3287.21             2.10                2.11                
17099                           136                 512.85              0.27                0.27                
17101                           6                   73.99               0.081               0.081               
17103                           77                  160.91              0.48                0.48                
