LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
17167                           320                 918.73              0.35                0.35                
17169                           9                   31.94               0.28                0.28                
17171                           0                   23.37               0                   0                   
17173                           16                  102.10              0.16                0.16                
17175                           2                   25.21               0.079               0.079               
17177                           162                 210.00              0.77                0.77                
17179                           93                  622.03              0.15                0.15                
17181                           124                 78.59               1.58                1.58                
17183                           33                  357.53              0.092               0.092               
17185                           2                   54.37               0.037               0.037               
17187                           111                 79.49               1.40                1.40                
17189                           19                  65.54               0.29                0.29                
17191                           12                  76.52               0.16                0.16                
17193                           2                   63.89               0.031               0.031               
17195                           129                 260.39              0.50                0.50                
17197                           4694                3259.88             1.44                1.44                
17199                           57                  314.30              0.18                0.18                
17201                           1615                1333.56             1.21                1.21                
17203                           20                  181.50              0.11                0.11                
18001                           13                  168.85              0.077               0.077               
18003                           1106                1790.06             0.62                0.62                
18005                           448                 395.38              1.13                1.13                
18007                           27                  41.29               0.65                0.65                
18009                           17                  55.49               0.31                0.31                
18011                           264                 320.18              0.82                0.82                
18013                           32                  71.22               0.45                0.45                
18015                           82                  95.60               0.86                0.86                
18017                           1566                177.87              8.80                8.81                
18019                           438                 558.31              0.78                0.78                
18021                           35                  123.77              0.28                0.28                
18023                           163                 152.90              1.07                1.07                
18025                           23                  49.92               0.46                0.46                
18027                           71                  157.40              0.45                0.45                
18029                           227                 233.41              0.97                0.97                
18031                           220                 125.34              1.76                1.76                
18033                           81                  205.17              0.39                0.39                
18035                           298                 538.65              0.55                0.55                
18037                           162                 201.69              0.80                0.80                
18039                           777                 973.80              0.80                0.80                
18041                           43                  109.03              0.39                0.39                
18043                           308                 370.57              0.83                0.83                
18045                           18                  77.14               0.23                0.23                
18047                           107                 107.40              1.00                1.00                
18049                           47                  94.26               0.50                0.50                
18051                           11                  158.85              0.069               0.069               
18053                           168                 310.39              0.54                0.54                
18055                           163                 150.65              1.08                1.08                
18057                           1054                1595.20             0.66                0.66                
18059                           310                 368.90              0.84                0.84                
18061                           177                 191.21              0.93                0.93                
18063                           1061                803.76              1.32                1.32                
18065                           145                 226.40              0.64                0.64                
18067                           336                 389.56              0.86                0.86                
18069                           23                  172.35              0.13                0.13                
18071                           340                 208.74              1.63                1.63                
18073                           78                  158.39              0.49                0.49                
18075                           33                  96.45               0.34                0.34                
18077                           44                  152.47              0.29                0.29                
18079                           121                 130.89              0.92                0.92                
18081                           1031                746.45              1.38                1.38                
18083                           23                  172.70              0.13                0.13                
18085                           61                  374.98              0.16                0.16                
18087                           57                  186.95              0.30                0.30                
18089                           3024                2291.22             1.32                1.32                
18091                           365                 518.60              0.70                0.70                
18093                           142                 214.12              0.66                0.66                
18095                           569                 611.48              0.93                0.93                
18097                           8656                4552.23             1.90                1.91                
18099                           57                  218.31              0.26                0.26                
18101                           9                   48.40               0.19                0.19                
18103                           135                 167.61              0.81                0.81                
18105                           158                 700.50              0.23                0.23                
18107                           191                 180.93              1.06                1.06                
18109                           253                 332.66              0.76                0.76                
18111                           72                  66.00               1.09                1.09                
18113                           156                 225.32              0.69                0.69                
18115                           13                  27.73               0.47                0.47                
18117                           127                 92.72               1.37                1.37                
18119                           30                  98.16               0.31                0.31                
18121                           21                  79.93               0.26                0.26                
18123                           22                  90.47               0.24                0.24                
18125                           6                   58.47               0.10                0.10                
18127                           421                 804.13              0.52                0.52                
18129                           16                  120.00              0.13                0.13                
18131                           38                  58.30               0.65                0.65                
18133                           128                 177.34              0.72                0.72                
18135                           34                  116.40              0.29                0.29                
18137                           122                 133.67              0.91                0.91                
18139                           48                  78.25               0.61                0.61                
18141                           1054                1282.85             0.82                0.82                
18143                           101                 112.67              0.90                0.90                
18145                           302                 211.09              1.43                1.43                
18147                           13                  95.69               0.14                0.14                
18149                           30                  108.52              0.28                0.28                
18151                           74                  163.26              0.45                0.45                
18153                           30                  97.54               0.31                0.31                
18155                           21                  50.74               0.41                0.41                
18157                           331                 923.73              0.36                0.36                
18159                           21                  71.49               0.29                0.29                
18161                           12                  33.29               0.36                0.36                
18163                           227                 856.34              0.27                0.26                
18165                           8                   73.14               0.11                0.11                
18167                           128                 505.15              0.25                0.25                
18169                           71                  146.28              0.49                0.49                
18171                           12                  39.01               0.31                0.31                
18173                           158                 297.31              0.53                0.53                
18175                           53                  132.31              0.40                0.40                
18177                           67                  310.93              0.22                0.22                
18179                           22                  133.54              0.16                0.16                
18181                           189                 113.75              1.66                1.66                
18183                           30                  160.29              0.19                0.19                
19001                           6                   33.75               0.18                0.18                
19003                           2                   17.00               0.12                0.12                
19005                           120                 64.59               1.86                1.86                
19007                           8                   58.64               0.14                0.14                
19009                           11                  25.94               0.42                0.42                
19011                           39                  121.03              0.32                0.32                
19013                           1637                619.31              2.64                2.64                
19015                           49                  123.81              0.40                0.40                
19017                           65                  118.28              0.55                0.55                
19019                           30                  99.93               0.30                0.30                
19021                           127                 92.59               1.37                1.37                
19023                           14                  68.14               0.21                0.21                
19025                           2                   45.63               0.044               0.044               
19027                           8                   95.17               0.084               0.084               
19029                           3                   60.58               0.050               0.050               
19031                           45                  87.91               0.51                0.51                
19033                           22                  200.34              0.11                0.11                
19035                           10                  53.02               0.19                0.19                
19037                           8                   56.32               0.14                0.14                
19039                           24                  44.34               0.54                0.54                
19041                           10                  75.59               0.13                0.13                
19043                           34                  82.82               0.41                0.41                
19045                           61                  219.12              0.28                0.28                
19047                           410                 79.38               5.17                5.17                
19049                           803                 441.04              1.82                1.82                
19051                           13                  42.47               0.31                0.31                
19053                           1                   37.14               0.027               0.027               
19055                           20                  80.28               0.25                0.25                
19057                           54                  183.90              0.29                0.29                
19059                           8                   81.45               0.098               0.098               
19061                           296                 459.25              0.64                0.64                
19063                           7                   43.46               0.16                0.16                
19065                           25                  92.74               0.27                0.27                
19067                           11                  73.82               0.15                0.15                
19069                           8                   47.52               0.17                0.17                
19071                           4                   32.85               0.12                0.12                
19073                           14                  41.95               0.33                0.33                
19075                           21                  57.73               0.36                0.36                
19077                           40                  50.45               0.79                0.79                
19079                           12                  69.72               0.17                0.17                
19081                           7                   50.17               0.14                0.14                
19083                           15                  79.50               0.19                0.19                
19085                           18                  66.30               0.27                0.27                
19087                           50                  94.17               0.53                0.53                
19089                           13                  43.22               0.30                0.30                
19091                           7                   45.11               0.16                0.16                
19093                           9                   32.37               0.28                0.28                
19095                           36                  76.38               0.47                0.47                
19097                           9                   91.74               0.098               0.098               
19099                           250                 175.49              1.42                1.42                
19101                           14                  86.34               0.16                0.16                
19103                           580                 713.29              0.81                0.81                
19105                           36                  97.60               0.37                0.37                
19107                           17                  48.35               0.35                0.35                
19109                           8                   69.91               0.11                0.11                
19111                           20                  158.84              0.13                0.13                
19113                           902                 1069.91             0.84                0.84                
19115                           322                 52.08               6.18                6.18                
19117                           3                   40.59               0.074               0.074               
19119                           19                  55.48               0.34                0.34                
19121                           21                  77.11               0.27                0.27                
19123                           45                  104.27              0.43                0.43                
19125                           24                  156.93              0.15                0.15                
19127                           827                 185.80              4.45                4.45                
19129                           14                  71.31               0.20                0.20                
19131                           4                   49.96               0.080               0.080               
19133                           18                  40.66               0.44                0.44                
19135                           23                  36.37               0.63                0.63                
19137                           6                   46.80               0.13                0.13                
19139                           536                 201.35              2.66                2.66                
19141                           24                  64.91               0.37                0.37                
19143                           29                  28.12               1.03                1.03                
19145                           12                  71.30               0.17                0.17                
19147                           2                   41.94               0.048               0.048               
19149                           91                  118.82              0.77                0.77                
19151                           3                   31.24               0.096               0.096               
19153                           3230                2313.25             1.40                1.40                
19155                           177                 439.87              0.40                0.40                
19157                           89                  87.33               1.02                1.02                
19159                           1                   23.10               0.043               0.043               
19161                           8                   45.88               0.17                0.17                
19163                           313                 816.18              0.38                0.38                
19165                           26                  54.06               0.48                0.48                
19167                           159                 164.49              0.97                0.97                
19169                           83                  458.33              0.18                0.18                
19171                           372                 79.54               4.68                4.68                
19173                           4                   28.89               0.14                0.14                
19175                           5                   57.77               0.087               0.087               
19177                           8                   33.24               0.24                0.24                
19179                           419                 165.03              2.54                2.54                
19181                           91                  242.89              0.37                0.37                
19183                           173                 103.66              1.67                1.67                
19185                           1                   30.40               0.033               0.033               
19187                           21                  169.44              0.12                0.12                
19189                           8                   48.86               0.16                0.16                
19191                           30                  94.35               0.32                0.32                
19193                           2362                486.60              4.85                4.86                
19195                           3                   34.83               0.086               0.086               
19197                           46                  59.28               0.78                0.78                
20001                           0                   58.37               0                   0                   
20003                           3                   37.08               0.081               0.081               
20005                           17                  75.85               0.22                0.22                
20007                           1                   20.89               0.048               0.048               
20009                           31                  121.66              0.25                0.25                
20011                           7                   68.59               0.10                0.10                
20013                           5                   45.14               0.11                0.11                
20015                           20                  315.78              0.063               0.063               
20017                           3                   12.50               0.24                0.24                
20019                           4                   15.34               0.26                0.26                
20021                           8                   94.10               0.085               0.085               
20023                           2                   12.54               0.16                0.16                
20025                           21                  9.41                2.23                2.23                
20027                           8                   37.76               0.21                0.21                
20029                           4                   41.46               0.096               0.096               
20031                           50                  38.60               1.30                1.30                
20033                           0                   8.02                0                   0                   
20035                           4                   164.74              0.024               0.024               
20037                           13                  183.20              0.071               0.071               
20039                           0                   13.34               0                   0                   
20041                           2                   87.15               0.023               0.023               
20043                           9                   35.87               0.25                0.25                
20045                           64                  576.99              0.11                0.11                
20047                           5                   13.20               0.38                0.38                
20049                           1                   11.94               0.084               0.084               
20051                           8                   134.75              0.059               0.059               
20053                           2                   28.80               0.069               0.069               
20055                           1363                172.10              7.92                7.93                
20057                           1439                158.66              9.07                9.08                
20059                           32                  120.55              0.27                0.27                
20061                           16                  149.46              0.11                0.11                
20063                           1                   12.44               0.080               0.080               
20065                           0                   11.71               0                   0                   
20067                           18                  33.74               0.53                0.53                
20069                           17                  28.26               0.60                0.60                
20071                           0                   5.81                0                   0                   
20073                           3                   28.23               0.11                0.11                
20075                           11                  11.98               0.92                0.92                
20077                           1                   25.65               0.039               0.039               
20079                           11                  162.48              0.068               0.068               
20081                           17                  18.73               0.91                0.91                
20083                           0                   8.47                0                   0                   
20085                           33                  62.16               0.53                0.53                
20087                           22                  89.87               0.24                0.24                
20089                           4                   13.59               0.29                0.29                
20091                           669                 2842.95             0.24                0.23                
20093                           41                  18.11               2.26                2.26                
20095                           0                   33.75               0                   0                   
20097                           2                   11.68               0.17                0.17                
20099                           23                  92.58               0.25                0.25                
20101                           1                   7.24                0.14                0.14                
20103                           1058                385.85              2.74                2.74                
20105                           0                   13.98               0                   0                   
20107                           8                   45.79               0.17                0.17                
20109                           0                   13.19               0                   0                   
20111                           320                 156.66              2.04                2.04                
20113                           27                  134.70              0.20                0.20                
20115                           5                   56.09               0.089               0.089               
20117                           0                   45.81               0                   0                   
20119                           22                  19.03               1.16                1.16                
20121                           6                   161.58              0.037               0.037               
20123                           4                   28.22               0.14                0.14                
20125                           24                  150.21              0.16                0.16                
20127                           3                   26.52               0.11                0.11                
20129                           4                   12.21               0.33                0.33                
2013                            0                   15.75               0                   0                   
20131                           8                   48.28               0.17                0.17                
20133                           3                   75.54               0.040               0.040               
20135                           1                   12.98               0.077               0.077               
20137                           2                   25.30               0.079               0.079               
20139                           7                   75.27               0.093               0.093               
20141                           2                   16.14               0.12                0.12                
20143                           4                   26.92               0.15                0.15                
20145                           0                   30.27               0                   0                   
20147                           2                   24.70               0.081               0.081               
20149                           22                  115.07              0.19                0.19                
20151                           1                   43.25               0.023               0.023               
20153                           0                   11.94               0                   0                   
20155                           43                  292.59              0.15                0.15                
20157                           4                   21.88               0.18                0.18                
20159                           4                   45.01               0.089               0.089               
2016                            0                   26.59               0                   0                   
20161                           61                  350.33              0.17                0.17                
20163                           6                   23.22               0.26                0.26                
20165                           0                   14.33               0                   0                   
20167                           0                   32.36               0                   0                   
20169                           24                  255.90              0.094               0.094               
20171                           14                  22.76               0.62                0.62                
20173                           540                 2435.39             0.22                0.22                
20175                           810                 101.13              8.01                8.01                
20177                           217                 834.74              0.26                0.26                
20179                           2                   11.90               0.17                0.17                
20181                           6                   27.92               0.21                0.21                
20183                           2                   16.91               0.12                0.12                
20185                           1                   19.61               0.051               0.051               
20187                           9                   9.47                0.95                0.95                
20189                           28                  25.89               1.08                1.08                
20191                           6                   107.77              0.056               0.056               
20193                           0                   36.70               0                   0                   
20195                           0                   13.23               0                   0                   
20197                           35                  32.71               1.07                1.07                
20199                           0                   7.16                0                   0                   
2020                            215                 1359.18             0.16                0.16                
20201                           1                   25.51               0.039               0.039               
20203                           1                   10.00               0.100               0.100               
20205                           1                   40.23               0.025               0.025               
20207                           6                   14.81               0.41                0.41                
20209                           1189                780.72              1.52                1.52                
2050                            2                   86.77               0.023               0.023               
2060                            0                   3.95                0                   0                   
2068                            0                   9.90                0                   0                   
2070                            1                   23.20               0.043               0.043               
2090                            86                  457.07              0.19                0.19                
2100                            0                   11.94               0                   0                   
21001                           101                 90.62               1.11                1.11                
21003                           45                  100.59              0.45                0.45                
21005                           16                  107.35              0.15                0.15                
21007                           13                  37.23               0.35                0.35                
21009                           39                  208.83              0.19                0.19                
21011                           7                   58.99               0.12                0.12                
21013                           1                   122.85              0.0081              0.0081              
21015                           363                 630.42              0.58                0.58                
21017                           12                  93.39               0.13                0.13                
21019                           44                  220.48              0.20                0.20                
21021                           23                  141.86              0.16                0.16                
21023                           12                  39.18               0.31                0.31                
21025                           6                   59.61               0.10                0.10                
21027                           19                  96.64               0.20                0.20                
21029                           105                 385.46              0.27                0.27                
21031                           220                 60.78               3.62                3.62                
21033                           15                  60.16               0.25                0.25                
21035                           50                  184.06              0.27                0.27                
21037                           139                 441.66              0.31                0.31                
21039                           3                   22.46               0.13                0.13                
21041                           4                   50.17               0.080               0.080               
21043                           10                  126.47              0.079               0.079               
21045                           2                   76.26               0.026               0.026               
21047                           99                  332.53              0.30                0.30                
21049                           36                  171.14              0.21                0.21                
2105                            0                   10.14               0                   0                   
21051                           3                   93.92               0.032               0.032               
21053                           4                   48.22               0.083               0.083               
21055                           4                   41.56               0.096               0.096               
21057                           6                   31.21               0.19                0.19                
21059                           298                 479.07              0.62                0.62                
21061                           51                  57.34               0.89                0.89                
21063                           1                   35.48               0.028               0.028               
21065                           0                   66.57               0                   0                   
21067                           596                 1525.08             0.39                0.39                
21069                           5                   68.81               0.073               0.073               
21071                           20                  167.96              0.12                0.12                
21073                           33                  240.65              0.14                0.14                
21075                           3                   28.17               0.11                0.11                
21077                           3                   41.86               0.072               0.072               
21079                           6                   83.37               0.072               0.072               
21081                           37                  118.31              0.31                0.31                
21083                           155                 175.87              0.88                0.88                
21085                           111                 124.72              0.89                0.89                
21087                           2                   51.63               0.039               0.039               
21089                           14                  165.64              0.085               0.085               
21091                           9                   41.16               0.22                0.22                
21093                           89                  523.65              0.17                0.17                
21095                           1                   122.75              0.0081              0.0081              
21097                           21                  89.13               0.24                0.24                
21099                           19                  89.83               0.21                0.21                
2110                            30                  150.90              0.20                0.20                
21101                           102                 213.36              0.48                0.48                
21103                           15                  76.10               0.20                0.20                
21105                           6                   20.67               0.29                0.29                
21107                           219                 210.89              1.04                1.04                
21109                           64                  62.90               1.02                1.02                
21111                           1995                3618.61             0.55                0.55                
21113                           55                  255.39              0.22                0.22                
21115                           5                   104.71              0.048               0.048               
21117                           486                 788.13              0.62                0.62                
21119                           5                   69.88               0.072               0.072               
21121                           10                  146.98              0.068               0.068               
21123                           6                   67.95               0.088               0.088               
21125                           23                  287.00              0.080               0.080               
21127                           2                   72.29               0.028               0.028               
21129                           0                   34.94               0                   0                   
21131                           7                   46.61               0.15                0.15                
21133                           5                   101.72              0.049               0.049               
21135                           8                   62.65               0.13                0.13                
21137                           8                   115.86              0.069               0.069               
21139                           7                   43.39               0.16                0.16                
21141                           103                 127.90              0.81                0.81                
21143                           15                  38.75               0.39                0.39                
21145                           86                  308.73              0.28                0.28                
