LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
36039                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       213                 111.35              1.91                1.91                5662560.00          42.275797           -74.123849          F 
44005                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       198                 193.69              1.02                1.02                9849840.00          41.564203           -71.265698          F 
44001                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       215                 114.40              1.88                1.88                5817480.00          41.710181           -71.286523          F 
34039                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       15064               1312.79             11.47               11.58               66760832.00         40.658354           -74.306801          F 
34027                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       6075                1160.60             5.23                5.25                59021316.00         40.860953           -74.545537          F 
34037                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       1068                331.51              3.22                3.22                16858560.00         41.138916           -74.691182          F 
36083                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       444                 374.52              1.19                1.19                19045680.00         42.713481           -73.510899          F 
36105                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       1267                178.00              7.12                7.12                9051840.00          41.715795           -74.763946          F 
25005                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       6453                1333.73             4.84                4.85                67825952.00         41.792284           -71.108722          F 
36001                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       1594                720.90              2.21                2.21                36660704.00         42.600603           -73.977239          F 
34023                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       14853               1946.89             7.63                7.69                99007600.00         40.436299           -74.414270          F 
25021                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       7450                1667.77             4.47                4.48                84813096.00         42.160731           -71.205304          F 
34025                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       7454                1460.16             5.10                5.12                74255448.00         40.265497           -74.222407          F 
34035                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       4328                776.18              5.58                5.59                39472112.00         40.564657           -74.616830          F 
42103                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       459                 131.69              3.49                3.49                6697080.00          41.331550           -75.032081          F 
25017                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       19607               3803.10             5.16                5.21                193403680.00        42.486077           -71.390492          F 
50025                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       77                  99.63               0.77                0.77                5066640.00          42.986982           -72.712689          F 
33005                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       48                  179.54              0.27                0.27                9130200.00          42.920160           -72.253110          F 
36095                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       47                  73.15               0.64                0.64                3719880.00          42.588317           -74.443390          F 
50003                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       59                  83.70               0.70                0.70                4256400.00          43.035198           -73.090489          F 
36093                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       665                 366.46              1.81                1.82                18635892.00         42.816688           -74.052783          F 
34041                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       1097                248.40              4.42                4.42                12632040.00         40.859518           -74.995565          F 
25025                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       16591               1896.97             8.75                8.83                96468792.00         42.327951           -71.078504          F 
25023                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       7339                1229.87             5.97                5.99                62544128.00         41.940706           -70.808028          F 
25007                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       0                   40.90               0                   0                   2079840.00          41.406747           -70.687635          F 
36025                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       80                  104.14              0.77                0.77                5296200.00          42.198376           -74.967093          F 
34019                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       907                 293.48              3.09                3.09                14924520.00         40.563352           -74.912842          F 
34021                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       6135                867.02              7.08                7.10                44091656.00         40.280470           -74.704796          F 
33011                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       2035                984.05              2.07                2.07                50042920.00         42.915378           -71.720025          F 
42127                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       106                 121.20              0.87                0.87                6163320.00          41.649385           -75.299565          F 
34029                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       8104                1432.77             5.66                5.68                72862192.00         39.889545           -74.280893          F 
26149                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       98                  131.87              0.74                0.74                7315680.00          41.914418           -85.527980          F 
18087                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       57                  85.69               0.67                0.67                4753680.00          41.642322           -85.426742          F 
26077                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       783                 573.35              1.37                1.37                31807920.00         42.245422           -85.530386          F 
26027                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       77                  112.02              0.69                0.69                6214440.00          41.915223           -85.994057          F 
26023                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       108                 94.13               1.15                1.15                5222040.00          41.916006           -85.059295          F 
18039                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       770                 446.32              1.73                1.73                24760884.00         41.597612           -85.858757          F 
18151                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       74                  74.83               0.99                0.99                4151280.00          41.644239           -85.001011          F 
26159                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       137                 163.69              0.84                0.84                9081240.00          42.251902           -86.019391          F 
26025                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       349                 290.19              1.20                1.20                16099080.00         42.246338           -85.004936          F 
18113                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       155                 103.27              1.50                1.50                5729280.00          41.396725           -85.419667          F 
18141                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       1033                587.97              1.76                1.76                32619120.00         41.617568           -86.290408          F 
18033                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       80                  94.04               0.85                0.85                5217000.00          41.398046           -84.999069          F 
26021                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       637                 331.81              1.92                1.92                18408112.00         41.954474           -86.413131          F 
26059                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       172                 98.65               1.74                1.74                5472600.00          41.887536           -84.593120          F 
26015                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       74                  133.14              0.56                0.56                7386000.00          42.595140           -85.308345          F 
18085                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       61                  171.87              0.35                0.35                9534720.00          41.245217           -85.863123          F 
26005                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       225                 255.41              0.88                0.88                14169720.00         42.591470           -85.891029          F 
18183                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       30                  73.47               0.41                0.41                4075680.00          41.138638           -85.507912          F 
39171                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       49                  79.37               0.62                0.62                4403040.00          41.560520           -84.584296          F 
18099                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       56                  100.06              0.56                0.56                5550960.00          41.324674           -86.261851          F 
26045                           2                   1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       204                 238.51              0.86                0.86                13232160.00         42.595992           -84.837400          F 
